Word,Count
स्पष्टीकरणको,3
‘रित’,2
पूरा,209
आयोग,860
एक्कासि,8
मन,690
पर्न,80
थाल्यो,33
दाजु,495
भा,112
निर्वाचनले,30
लोकतन्त्र,221
बलियो,215
बनाएको,143
प्रधानमन्त्री,1837
नाम,538
समाजमा,80
‘archetype’,1
भएर,761
रहने,86
भो,735
उम्मेदवार,3590
सिर्जना_सिंह,212
नेता,1671
प्रकाशमान_सिंहको,10
मतदान,2448
छोरा_छोरी,23
अमेरिका,98
सेटल,6
अमिर्की,1
अफ्रकीमुलका,1
नाति,10
नातिना,3
भइसकेका,11
खासै,109
काम,1567
नभएका,77
नेवारगैर,1
नेवारलाई,5
मेयर,6580
बनाए,120
कसो,110
होला,2110
हाेइन,35
हाउ,20
पाजि,3
चीन,21
कंगो,1
नभएर,93
प्रविधि,30
प्रयोग,417
अघि_बढ्न,7
गठबन्धनमा,115
समाजवादी,306
‘बाइपास’,2
यता,265
अपमाSSSSSSन,1
भयाे,87
दाहाल,171
रुख,777
चढे,7
अनि,1942
सर,339
भुईमै,1
लाैन,5
उतावाट,1
सिंह,213
आउदैछ,6
अव,83
हाेला,110
क्लाईमेक्सकाे,1
प्रतिक्षा,11
गराै,24
हात,283
काटिन्छ,12
अन्त,90
हालिन्नभन्ने,1
यिनै,82
होइनन्,78
कार्यकर्ताद्वारा,44
सचिवमाथि_आक्रमण,9
आज,1712
मान्छे,755
हेर्ने,117
भनेर,2280
होईन,305
कमलामाइका,1
माओवादीबाट,59
उपप्रमुख_श्रेष्ठको,13
रद्द,171
Nepal_Japan,33
प्रायः,26
रक्सी,69
बेच्ने,57
रेस्टुरेन्टहरु,1
नखाने,7
ग्राहक,2
त्यसैमाथी,2
जना,940
गयो,104
बाल,48
दिदैनन,22
फस्ट,10
एण्ड,45
लास्ट,17
रातोमाटोरेस्टुरेन्ट,1
सेवा,181
खाना,65
मिठो,27
चियाबिशेष,1
रे,1032
अझ,202
मुस्ताङको_लोमन्थाङ,9
गाउँपालिका,713
अध्यक्ष,2368
उपाध्यक्षमा,425
हेटौडा,19
हाल्ने,718
तरीका,7
सिकाउदै,8
रच्छन,1
बढाउने,40
घटाउने,16
भाषण,149
ठोकेछन्,1
यिनको,53
हार,158
हेर्न,212
मजा,24
आउने,472
टिकटको,10
आशामा,7
राजीनामा,336
अहिले_रित्तै,18
धेरैलाई,25
पीर,18
hamrakura,161
सांसद्,4
भीम,33
बहादुर,260
श्रेष्ठ,321
पार्टी,2211
ने,48
की,302
कारवाही,144
से,46
निलंबित,1
माग्न,575
निहुँले,1
तिमीलाई,60
माग्लान,6
कुरो,370
नबुझी_टाउको,6
नहल्लाउनु_है,6
माया,264
विवादास्पद_अभिव्यक्ति,6
स्थापित,477
अयोगको,4
स्पष्टिकरण,22
हार्दिक_बधाई,252
नारायण,60
दैलेखमा,26
स्थानीय_तह,1794
नगर,455
प्रमुख,1455
लोमन,4
शर्मा,120
उपनगर,1
उपमेयर,1472
तप्ता,1
थापा,312
अध्यक्षहरू,3
सन्देश,90
रेशम,24
चन्द्र,46
प्रसाद,120
उपाध्याय,17
४,804
चन्द्रबहादुर,7
कटुवाल,9
येमानसिह,1
देवचुली,15
आयोजित,78
कोणसभामा,4
कांग्रेसलगायत,1
गठबन्धनका_उम्मेदवारलाई,53
माग्,80
भनछौ,1
स्विजरलंद,1
सिंगापुर,13
बनौछु,1
अरे,93
मूर्ख,28
जस्तों,6
बन्न,261
दे,54
पहीचान,2
लिमिट,2
है,1411
प्रचण्डले,222
धम्कि,32
दिय,10
छोरि,23
नदिय,10
देश_दुर्घटनामा,173
जान्छ,155
हार्नेलाई,3
भेट्दा,11
दया,23
जितेकोलाई,1
भेट्न,47
ढोकामा,5
पालो,73
कुर्नपर्छ,1
अहिले,1169
भाउ,65
खाने,182
हामीभोटर,1
दिनभित्र_मतगणना,30
आयोगको_निर्देशन,64
खासमा,90
“कॉग्रेसीले,1
हँसिया_हथौडामा,76
नहाले_देश,59
दुर्घटनामा,83
सक्छ”,1
‘फेरी,1
पनी,240
मतपत्र_च्यात्ने,17
छौ’,1
भन्या,233
रहेछन,121
बदर,325
मतले,242
बताउने,7
नेपालकाे,26
प्रणाली,92
मतदाता,631
शिक्षाकाे,4
उपादेयता,2
माओवादीका,198
बागी,657
वडाध्यक्ष,1568
विवरणअनुसार,9
काठमाडौं_महानगरपालिकामा,56
जम्मा,289
६७७३,1
मतको,131
गणना_हुँदा,118
स्वतन्त्र,2081
बालेन्द्र,68
साहलाई,20
२४५७,3
केशव_स्थापितलाई,132
१४२७,9
कांग्रेसकी_सिर्जना,36
सिंहलाई,34
११६८,3
लौन,29
नानी,38
हालन,5
पटाउनू,1
सरकार,733
विद्युतीय,25
सवारीसाधनको,2
चार्जिङ,3
स्टेसन,5
निर्माण,137
प्रक्रिया,83
सुरु,483
छनेपाल,10
विद्युत्,9
प्राधिकरणले,6
टेन्डर,4
प्रक्रियाबाट,4
चीनको,10
जियाङ्सु,1
जोङ्दोङ,1
न्यु,2
इनर्जी,2
टेक्नोलोजी,3
कम्पनी,49
छनोट,50
गरेपछि,113
अगाडि,631
बढेको,72
कम्पनीलाई,11
सम्झौताका,2
मनाङका_गाउँमा,11
बढ्यो,63
चहलपहल,24
Nepal_Bahas,275
काठमाडौमा,78
बालेन_शाह,265
जित्ने_सम्भावना,23
क्रमशः,22
बढ्दै,40
गर्,218
श्रमिक,43
डेकै,1
परिरहेको,4
किनकी,109
आयोगले,1038
सत्तारुढ,383
निकट_पत्रकार,15
सङ्गठनलाई,7
सोध्यो_घण्टे,11
स्पष्टीकरण,232
काठमाण्डौको,39
चन्द्रागिरी,29
नपाका,7
मेयरवडाअध्यक्ष,1
वडासदस्यका,3
उम्मेदवारहरूलाई,46
जसपाको,38
वैकल्पिक,38
राजनीतिक,667
विचारकार्यक्रम,1
आचरणवारे,1
अभिमुखीकरणहाम्रा,1
उम्मेदवारले,410
जित्ने,491
हैन,1144
लोकतन्त्रलाई,17
जनताको,625
घरदैलोमा,62
पुर्याउनसुशासनको,1
प्रत्याभूति,8
विकासलाई,9
फलिभूत,1
गर्नै,53
पोखराको_मेयरमा,33
तिवारीको,4
गठबन्धनको,495
मनोनयन,145
कार्यक्रम,255
केहीबेरपछि,1
पोखरामा,129
शुरू,40
MakaluKhabar,204
पोखराका,34
सुकुम्बासीको,12
पीडा_सधैं,11
बैंक_समस्या,16
ज्यूँका_त्यूँ,16
डोटीका,6
मतदान_केन्द्रमा,288
सामग्रीसहित_कर्मचारी,21
४००,49
हुदाँ,18
धर्मदेवी,2
अपडेट,704
उदयभन्द्र,1
पौडेल,314
२१०,14
काँग्रेस,876
थलकुमार,2
लिङ्खा,2
१७०,24
उपप्रमुख,420
एमालेलक्ष्मी,1
गिरी,55
२०८,7
तारा,33
महत,19
१६४,2
पराजुली,17
संज्ञानात्मक,1
भाषा,108
विज्ञानमा,2
विद्यावारिधि,4
रंगेलीमा,4
पुनः,188
जेठ,61
सबैतिर,32
भइसक्छ,1
थपलिया,30
ओलीलाई,76
जवाफ,158
कांग्रेसले,776
लागू,69
नीति_कार्यक्रमको,7
ब्याजसमेत_खाने,6
फर_ट्रि,6
सरकारी,169
बिना,124
घुसखोरि,1
फ्रि,30
किबोर्ड,2
कोरिएन,1
सग,58
बोल्दा,22
use,8
हाले,237
बालेनलाई,220
यिनले,71
भन्नै_पर्दैन,7
तनहुँमाा,1
कार्यकर्ताबाट,21
कुटिए,31
कार्यकर्ता,561
धरानको,23
पदका,458
हर्क,21
साम्पाङले,5
चिन्ह,488
लौरो,531
पाएछन्,8
चुनावि,20
एजेन्डा,96
ठुला,161
स्मार्ट_सिटि,6
बनाउने,469
सामान्य,118
सानो,100
धरानेहरुका,1
अति,96
आवश्यक,182
महत्त्वपूर्ण,40
आवश्यकता,84
खालका,17
त्यसका,18
विगतदेखिनै,1
आवाज,57
उठाईरह,1
गणना_सकिएका,9
पालिकामध्ये,25
नेकपा_एस,116
वटामा,65
उदयपुरका,48
अधिकृतले_राजीना,10
मुगुका,15
सभापति,932
शाही_सवार,10
गाडी,120
दुर्घटना,105
election2079,162
कैलाली,34
लम्कीचुहा,12
१३३६५,2
सुशिला,8
शाही,119
५०४५,1
महादेव,12
बजगाइँ,1
४३३३,3
जुना,2
चौधरी,147
४७२२,3
जानकी,9
कुमारी,86
३३८,7
काठमाडौं,756
केशव_स्थापित,376
हजारको,49
अन्तरले,27
हार्छन,8
लाग्यो,266
सेनाको,56
उच्च,80
आन्तरिक,58
सर्वेक्षण,37
चाहि,171
५०५०,5
टाइट,2
स्थिति,76
भन्छ,166
चितवन,369
विजय_सुवेदी,147
चान्स,26
नपत्याए,19
विरगन्ज,4
जित्छ,148
लमजुङमा,35
अवधिभर_मदिरा,24
बिक्री_सेवन,8
निषेध,45
NepalElection2079,178
नतीजालाई,1
एकछिन,17
साइड,14
लगाएर,169
लुम्बिनी,101
पुगियो,7
अन्तर्राष्ट्रिय,91
व्यक्तित्वको,3
उपस्थिति,31
मिडियाको,21
संप्रेषण,1
“बुद्धको,1
जन्मस्थलमा,2
भारतीय,274
प्रम,254
मोदी”,1
आखिर,99
संसारले,1
मिनटमै,1
बुझ्यो,5
खुनखुन,1
हार्दिक,159
स्वागत,115
आभार,12
मोदी,115
जीन्यूज,1
टिम,103
कार्यकर्ताको_आक्रमणबाट,18
माओवादी_केन्द्रका,297
कार्यकर्ता_घाइते,34
इटहरीको,5
मेयरमा,1129
सत्ता_गठबन्धनका,51
उम्मेदवारको,444
अग्रता,620
उपमेयरमा,703
सभापति_देउवाद्वारा,25
पार्टीका_आधिकारिक,19
बनाउन,514
अपिल,167
आरज़ू,2
हिसिला,4
यमी,3
श्रीमानको,4
हैकममा,1
श्रीमतीहरूको,1
रजगज,4
प्रवृतीको,1
उदाहरण,73
परम्परा,27
संस्कृती,6
यहि,292
॥,42
जने,3
काठमाडौँको,48
मेयरका,263
जनाको,664
कति,1139
सूचीसहित,137
News_for,31
बिचरा,87
बासीहरु,6
हाँक्न,4
सक्ने,348
निस्केनन्,1
बाहिरबाट,10
झिकाउनु,1
परेको,290
बाबुरामले,12
जसरी,179
काठमाडौंको,244
बिकास,228
देख्नेभए,1
चितवनका,89
बोलि,10
फिर्ता,768
भयो,1119
महिना,179
तेस्तालाई,1
मानेछु,1
छि_छि,12
………,3
ओली,716
जाँ,58
ठकुरी,21
तेली,11
हामीलाई,159
मतलब,65
नी,299
नराम्रो,88
ठाउँमा,420
स्कूल_स्कूलमा,8
नेविसंघको,13
संगठन,110
बनाउनुहोस्,10
शेरबहादुर,397
थर्काउने,18
जेठा,17
भविष्यका,5
कर्णधारलाई,1
ढुङ्गा,15
हान्न,33
सिकाउने,28
रच्चन,2
राजेन्द्र_लिङ्देन,30
भाई,131
सैन्य,2
तालिम,26
हान्ने,54
कडा,113
निस्के,13
भाईहरू,2
भन्छन_पल्लाकोठे,24
का,41
कामनपा,40
मात्रै,977
उपमेयरकी,8
प्रतिस्पर्धी,75
उही,42
ड्याङको,3
मूली,1
रैछिन,6
बिबिसी,4
सुर्खेतको,35
पञ्चपुरी,9
एमालेको,846
लास्टै,18
झूर,5
यसपालिको,37
गीत,113
सक,112
काठमाडौ,307
क्षेत्र,230
नं,157
गोकर्णेश्वर,81
वडा_नं,701
अन्तिम_नतिजा,29
साहले,71
जिते,548
हारे,191
महिला,742
प्रहरी,203
सदैव,13
हासेको,3
देख्न,105
पाईयोस,4
आचारसंहिता_उल्लङ्घन,59
गर्नेलाई_कारबाही,19
बजेट,171
पठाउँदिन,5
भन्न,466
तिनको,38
माइतीको,2
पेवा,30
सामग्री,228
प्रकाश_मान,11
बुरि,4
बनाउछु,28
भनेपछि,99
सभापतिबाट,11
हटे,6
रातारात,29
उता,120
रामचन्द्र,77
बा,428
चहि,5
उदारो,1
राष्ट्रपतिमा,3
बिके,9
बजार,65
जनता,1249
प्यारो,42
तुलसीपुर,33
घर_दैलो,33
कार्यक्रममा,85
संगितनगर,1
टोल,58
राम,92
ङ,1
लाईन,42
Vote,27
For,6
Yamale,1
PadamPokharelJethuKanchhuTeam,1
जिन्दावाद,220
पोखरीया,2
लक्ष्मण,15
साह,202
कानु,3
गर्थ्यो,8
बिगत,46
रबि,5
लामिछाने,12
संचारकर्मी,6
कसैको,201
समर्थन,245
सक्लान,12
लेउ,4
कुन,700
अधिकारले,4
भन्दैछन,22
एउटा,972
जित,411
चुनाबमा,167
बन्नुपर्ला,1
थिएँ,48
फोनमा,9
सम्झिएँ,1
मनैले,2
लिएँ,4
हेलम्बु,14
वडाअध्यक्षमा,47
कांग्रेसबाट,259
दावा,7
ग्याल्जेन,4
लामासहित,1
पूरै_प्यानल,8
निल,13
खड्काको,27
बुद्ध_जयन्ती,9
मोदीलाई,12
बुद्धको,27
जन्मस्थल,11
बोलाएर,23
गर्नुभयो,29
धन्यवाद,221
Buddha,2
was,4
born,4
in,27
No,17
more,4
debates,1
now,1
onwards,1
दीपक,34
कार्कीको,17
वडामा,556
पार्टीकै,19
बागीले_जिते,2
सामुहिक,24
राजिनामा,255
सङै,21
द,250
मतगणना,794
सकिएका_पालिकामध्ये,3
तीनमा,23
खैरहनी,27
५८४४,1
मत_गन्दा,212
शशि,5
खनिया,9
३०२६,5
लालमणि,4
१७९६,2
सागर,44
पाण्डे,77
राप्रपा,989
४८३,6
लक्ष्मी,49
ढकाल,53
२२४२,2
कविता,43
उप्रेती,22
२०९६,1
यमुना,2
खड्का,115
५८६,4
जनकपुरका,13
EX,1
लालकिशोरसाहलाई,1
मित्रले,5
प्रश्न,335
तपाइको,58
उम्मेद्बारी,38
उत्तर,69
जनकपुर,41
उपमहानगर,61
आहिले,2
जनकपुरधाम,60
बर्षमा,77
धाम,5
थपिएछ,1
होस्,182
बन्दैछनेपाल,1
नाच्दै_गाउँदै,5
माग्दै,243
दलहरू,53
म्याग्दीको,29
दर्ता,1514
नेपालको_जिल्लामै,14
भएन,496
तालमेल,309
himalpress,177
सुस्त,27
भनेसी,39
आउ_मिलेर,34
घरपालीका,6
बनाउ,106
भाउजु,94
भित्राए,1
देखी,125
सालाहरुको,1
पकडमा,3
परेका,75
छन,1014
दाइ,226
लगायत,190
मनी,8
टक्स,1
स्थलमै_निर्णय,7
सक्ने_अधिकारसहित,6
आयोगले_खटायो,15
अनुगमन_टोली,17
पुगुन,2
आफ्नु,31
संस्कृति,52
स्वभाव,12
छोड्दैनंनहिजो,1
साँझबाट,1
हल्लागर्न,1
थालेका,22
हल्ला,89
गर्दैछनकेमिकल,1
लगाएको,73
धानको,6
चामलको,3
प्राय,48
बनाएर,205
पिउछनमहँगी,1
कुरै_नगरौ,6
छुट्टी,22
जमघट,4
दयालाउछप्रशासनले,1
थाहा,594
पायोभने,1
जेल,51
सहित,500
पुन,172
आऊन,4
नपाउने,131
ग़री,1
देश,1571
फर्काउ,1
मरिहत्ते,13
उत्साहित,54
दिनेहरुको,7
लर्को,18
रोजगारीको,15
अवसर,155
त्यतै,20
खुलेछ,5
भान,7
प्रचण्ड_पुत्री,18
रेणु_दाहाल,90
जितुन,26
चहान्न,1
भरतपुरको,116
खैरो,4
खेदे,3
आफैंले,19
रिजेक्ट,15
ख्यासिन्न,1
मुल्ला,1
अरू,133
सबैको,159
गराउन,267
सके,127
मानौंला,1
सिराहाको,9
लहान,9
नगरपालिकामा,526
मतगणनाका,10
बोलाइएको,3
सर्वदलीय,17
बैठकको,10
सुरुमै,3
एकीकृत_समाजवादीबाट,9
प्रत्याशीले,1
अधिकृतमाथि,8
व्यक्तिगत,65
ढंगले,34
लाञ्छना_लगाएपछि,5
बेहोस,16
भ,551
थबाङमा,28
विप्लव_नेतृत्वको,44
जानेकाे,1
देशकाे,30
हितकाे,1
साेचविचार,1
क्षमता,106
याेग्यता,5
भैदिएकाे,1
साेहि,1
अनुसार,392
गरेकाे,75
देशले,72
यस्ताे,44
दुर्दसा,2
थियाे,45
विचरा,27
मेराे,53
मेलेसिया,5
लागी,303
हालिन्न,18
क्यानाडा,1
सोच्न,27
सकिन्छ्,5
बिरगंजमा,2
गिरीषजी,1
ब्राण्ड,7
उठेको,72
हजार,1103
बाह्र,7
आउथेन,2
प्रवासी,8
उपेनदर,1
यादवको,18
जसपाले,36
धरतिपुत्र,1
महन्थठाकुरको,1
लोसपालाई,1
बडेमानको,1
लोप्पा,15
खुवाई,1
दिएको,608
सहजै,22
सकिन्छ,183
बाँकी,311
बिश्लेषन,1
हु,198
कपिलवस्तुको,20
महाराजगन्ज,8
नगरपालिकाको,503
शुभावती,2
कुर्मीको,8
मृत्यु,140
नगरपालिकाका,86
निवर्तमान,86
उपमेयरसमेत,1
रहेकी,20
कुर्मी,3
भएकी,58
थिइन्,28
पश्चिम_नवलपरासीको,11
रामग्राम,11
गन्दा,101
१४६,8
लोसपा,75
साइकल,30
१०९,14
यसअघि,47
२०७४_सालको,22
चुनावी,715
घोषणापत्रमा,47
एमालेले,801
मेट्रो_रेल,11
मेट्रो,12
बस,113
चलाउने,68
उम्मेद्वार,250
मानबहादुर,18
जिसी,9
नेतृत्वको,132
पोखरा,248
महानगरले,9
वाचा,24
गरेन,69
मोनोरेलदेखि,1
गाडीसम्म,1
प्रतिबद्धता,87
भानु,8
उपमहानगरमा,34
मेयरको,285
लडाइँ,39
२०७४,116
हाबी,17
कार्यकर्तालाई,142
देउवाको,249
आश्वासन–,3
गठबन्धन_टुट्दैन,11
रेणु_दाहाललाई,62
दि,304
तीनथरी_मतदाता,6
फकाउँदै,12
स्थापितले,99
core,3
एरियाको,4
सेफ्टी,2
ट्याङ्कीमा,4
लुकाएको,5
बालेनले,328
लौरोले,41
हडुली,1
हडुलि,1
निकाले,9
मुकुन्देकोछिमेकि,1
वर्षीय,97
युवा,483
पदमा,863
सोध्यो_स्पष्टीकरण,34
Bizshala,24
नहालेको,13
गर,219
सामाजिक_सञ्जाल,43
प्रभाव,75
kathmandu,24
जनाउँ,2
तस्बिरमा,4
वहाँ,28
खिचेकोत,1
देखिएनत,1
दुबैहात,1
टेबुलमा,1
अरुकसैले,2
खिचे,3
उस्को,33
दोश,6
उसोभए,2
ओलि,196
प्रचन्डेको,2
भिडियो,130
फोटोको,2
समाचार,215
दिनुपर्छ,36
एमालेलाई,318
पुग्ने,78
चोट,60
भरतपुर_महानगरपालिकामा,50
६६७७,3
गणनापछिको,6
अन्तर,47
रेनु_दाहाल,207
२४२५,7
बिजय_सुवेदी,43
२४२३_जगन्नाथ,6
७९५,8
भयरहित,28
पारदर्शी,16
निर्देशन,210
क्षेत्रबाट,14
२००,112
वैदेशिक,23
रोजगारीमा,6
पठाउने,55
निति,23
समावेश,23
शरण,17
अघि,441
बढेर,20
पत्नि,11
आरजु_राणा,52
वडाबाट,52
मलेसिया_पठाउने,13
श्रम,36
शक्ति,172
दलालहरु,8
तालि,14
बजाउ,3
मन्त्री,232
रामकुमारी,17
झाँक्रीलाई,3
प्रचारप्रसारमा,33
जानदिने,2
आयोगको,477
सहमति,143
विषेश,7
एपिसोड,3
दोब्बर,33
मतान्तरले,49
जित्छु,24
भरतपुरमा,535
रेणुलाई,92
विजयको,26
चुनौती,109
देशभरका,55
महानगरपालिका,136
उपमहानगरपालिका,54
२७६,25
प्रमुखका,52
३४३,7
जनाले,264
उपप्रमुखका,7
४४५,7
दिएका,594
nepalpress,180
हैट,166
अमुख,6
दलको,337
हार्दैमा,9
देश_दुर्घटना,49
जाने,495
जहिले,29
जोखिम,13
रेणु,165
जोगाउ,11
जगन्नाथ_पौडेललाई,30
भेट्दै,2
फेसबुकबाट,2
तथ्याङ्क,20
लिन,164
राति,84
मौन_अवधि,102
भएपछि,300
फेसबुकका,2
थुप्रै,28
विज्ञापनहरूको,3
अवधि,35
नसकिने,37
देखिएको,101
हेरेर,212
आयोगलाई,92
मेन्सन,12
गर्यो,295
लुते,5
हेर्नुपर्ला,1
रसुवामा,56
अवधिभर_मादक,6
पदार्थ_बिक्री,7
वितरण_सेवनमा,6
रोक,85
भरतपुरकी,10
रेनुले_गरिन्,7
फिलिपिन्समा,5
राष्ट्रपतीय,1
जनताको_आशाको,14
केन्द्र,271
परिणामअनुसार,16
पार्टीको,680
अवस्था,333
प्रचण्डजी,10
छोराको,13
वियोगमा,2
पर्दा,80
केपी,127
ओलीजीको,2
पीप,1
वग्दा,1
बिरामी,46
सम्माननिय,16
थकित,5
निदाउँदा,1
…,93
मानवीयता,3
हल्लनु,1
हुदैनथ्यो,4
मान्यता,38
अर्कै,70
वस्तु,14
राजनिति,119
राप्रपाको,143
कावासोती,16
नगरपालिका–१६,3
वडाध्यक्षका_उम्मेदवार,64
सुमन,26
भट्टको,10
घर,666
कार्यालयमा,48
आगजनी,27
त्यस्तै,157
राप्रपाबाट,59
नगरपालिका–५,27
सन्तोष,33
अर्याललाई,7
ज्यान_मार्ने,7
धम्की,161
सँग,215
डराकै,1
बडा,38
पुण्य_गौतम,45
प्रवेश,433
ओलीले,281
कामरेड,30
कै,346
पालामा,35
सिद्धान्तच्युत,1
थुइक्क,8
तर्क,64
जहानिया,7
सासन,5
जय,1047
गान,11
स्तुस्ती,1
नगरी,114
बाच्न,5
नपाइने,44
धमक्यानुं,1
तर्स्याउनु,1
प्रजातन्त्र,67
कैले,56
हाड,3
नभएको,256
जिब्रो,14
चिप्लिन,1
माफ,33
माग्नु,42
पर्द,20
सभापति_शेरबहादुर,163
दाजुको,37
फोटो,169
राखेको,86
गज्जब,66
हुन्थ्यो,217
आँखिर,5
परिषद,18
निर्णयको,11
सर्वाधिकार,2
जवाफदेही,17
व्यवस्थित,35
बस्ती,18
विकासमा,25
प्रथामिकता,2
सुपर,3
जिल्ला,429
निशा,14
ओलीको,264
नगरपालि,93
टोखा,157
मत_परिणामः,27
प्रकाश_अधिकारी,38
६७०१,1
रजनी_थापा,45
६९२९,1
मतान्तरः,26
उपमेयर_ज्ञानमाया,20
डंगोलः,19
६२५२,1
मुरारी_तामाङः,19
७००७,1
७५५,5
गौतम_बुद्ध,12
विमानस्थल,15
उद्घाटनका,1
पर्यटनमन्त्री,1
पुगे,139
भैरहवा,23
तयारी_पूरा,39
bizmandu,13
मनोनयनको,27
दिनः,2
साढे,69
छिटो,137
सुतेर,14
क्यार्नु,17
उठ्न,55
नपाई,12
तेहि,81
लौन_हजुर,87
सुन्न,97
गाउँपालिकामा,484
via,321
चिप्लेको,1
हेर्,54
एमालेबाट,389
स्पष्टीकरण_सोध,20
देवदह_नगरपालिकामा,21
दुवै_पदमा,43
उम्मेदवारलाई,430
दिएर,437
जिताउनु,95
जनालाई,78
फ्री,42
टिकट,422
भीषा,1
मलेसिया_पठाइदिन्छु,6
आर्जु,55
यस्ता,387
वाइयात,2
सुनेर,53
ताली_बजाउने,10
हरु,643
वास्तवमै,6
हीचडा,1
छी,4
तिम्रा,90
लाजनीतिखुलेआम,1
ह्यूमन,1
ट्राफिकिंगको,1
भ्रष्ट,130
महीला,5
आर्जू,3
व्यक्तिको,42
आलोचना,47
उसलाइ,16
उसको,96
कमजोरी,34
थादीनु,1
होतँ,1
यहा,21
चुकिस,1
झस्काइ,1
दिनु,456
होजगाउनु,1
दम्पतिको,1
विवादीत,3
वक्तव्यवाजिले,1
नेपालिकाँग्रेस,1
पाटीमा,7
आस्था,65
राख्नेको,3
शिर,22
झुकेकै,1
होमेरो,2
नेतृत्व,334
गौरव,26
कार्यकर्तालाइ,6
लाज,140
पटकसम्म,4
संसद,109
मासेर,4
जनमतको,17
अपमान,103
गर्नेले,33
चुनावबाटै,2
पाउनेछन्,7
Shared_via,118
सेनाले,40
काठमाडौँ,117
उपत्यकामा,9
तयारी,191
फौजसहित,1
हेलिकोप्टरले,1
गस्ती,5
भन्दैछन्,28
तेरो,78
टिसर्ट,11
सेतो,23
जुत्ता,23
कालो,95
पाइन्ट,2
निलो,12
रैछ,280
मर्द,4
छाती,14
गिलो,7
तीनै,19
नामर्दकै,2
चुसेर,11
दाबेदारलाई,2
मर्दको,2
स्तन,4
चुसेकोले,2
भनिएको,37
हेर्नुहोला,13
बिस्काः,1
जात्राको,2
क्यालेन्डरमा,1
वैशाख,102
दिनमा,111
